Quarter,quarterly_annualized_inflation
1/1/1970,4.123316765
4/1/1970,5.884007931
7/1/1970,5.637752056
10/1/1970,5.738292217
1/1/1971,6.124188423
4/1/1971,4.536409378
7/1/1971,4.335189342
10/1/1971,3.978815556
1/1/1972,3.828640461
4/1/1972,4.898706436
7/1/1972,5.59773159
10/1/1972,6.369176865
1/1/1973,10.54028988
4/1/1973,14.55696201
7/1/1973,28.90139961
10/1/1973,37.41880417
1/1/1974,31.23178291
4/1/1974,31.6750145
7/1/1974,24.83368874
10/1/1974,20.84752464
1/1/1975,25.8082428
4/1/1975,26.48079491
7/1/1975,18.15653419
10/1/1975,14.58998775
1/1/1976,9.461690903
4/1/1976,5.469004154
7/1/1976,5.747824669
10/1/1976,8.066896439
1/1/1977,11.16586494
4/1/1977,10.01670361
7/1/1977,11.46502495
10/1/1977,8.008684158
1/1/1978,5.396584988
4/1/1978,5.830363274
7/1/1978,7.047645569
10/1/1978,6.23788166
1/1/1979,6.331213951
4/1/1979,6.891925335
7/1/1979,10.54115391
10/1/1979,9.130729675
1/1/1980,10.61362457
4/1/1980,12.5313797
7/1/1980,10.45459938
10/1/1980,14.10311508
1/1/1981,13.02007389
4/1/1981,11.89619827
7/1/1981,11.75917244
10/1/1981,10.96756649
1/1/1982,9.612983704
4/1/1982,7.654947758
7/1/1982,3.410664558
10/1/1982,3.372440815
1/1/1983,4.322740555
4/1/1983,5.915803432
7/1/1983,6.464776039
10/1/1983,8.65639019
1/1/1984,7.64822197
4/1/1984,6.355587006
7/1/1984,6.318613529
10/1/1984,4.166005135
1/1/1985,5.853697777
4/1/1985,6.340522289
7/1/1985,5.484743118
10/1/1985,4.81756258
1/1/1986,4.018609047
4/1/1986,3.161426544
7/1/1986,2.87562561
10/1/1986,3.975564957
1/1/1987,3.019606829
4/1/1987,4.505264282
7/1/1987,5.863369942
10/1/1987,5.292362213
1/1/1988,6.256453514
4/1/1988,7.729902744
7/1/1988,10.39359856
10/1/1988,10.80111599
1/1/1989,10.91700172
4/1/1989,9.554889679
7/1/1989,5.719680786
10/1/1989,5.557553768
1/1/1990,5.802353382
4/1/1990,6.983103752
7/1/1990,10.83775043
10/1/1990,12.38711834
1/1/1991,13.61814213
4/1/1991,13.72101498
7/1/1991,10.06094551
10/1/1991,9.08706665
1/1/1992,9.176065445
4/1/1992,9.295706749
7/1/1992,10.45491314
10/1/1992,10.0714159
1/1/1993,9.526522636
4/1/1993,9.293345451
7/1/1993,9.868161201
10/1/1993,11.14068699
1/1/1994,11.83266735
4/1/1994,12.17691612
7/1/1994,11.95610332
10/1/1994,13.43678284
1/1/1995,14.50989056
4/1/1995,12.17409801
7/1/1995,12.42900372
10/1/1995,10.47283936
1/1/1996,9.654729843
4/1/1996,10.70086575
7/1/1996,9.893870354
10/1/1996,11.20401382
1/1/1997,13.01007938
4/1/1997,12.98461056
7/1/1997,10.91236019
10/1/1997,8.811313629
1/1/1998,6.017528057
4/1/1998,5.802727699
7/1/1998,6.710119724
10/1/1998,6.36866188
1/1/1999,5.73618412
4/1/1999,4.193918705
7/1/1999,3.306186438
10/1/1999,3.404327631
1/1/2000,3.341182232
4/1/2000,4.273138046
7/1/2000,4.821030617
10/1/2000,5.006432056
1/1/2001,4.48412466
4/1/2001,3.352127552
7/1/2001,2.744049311
10/1/2001,2.073089361
1/1/2002,2.58621788
4/1/2002,3.293516636
7/1/2002,3.942909241
10/1/2002,3.304797173
1/1/2003,3.148720026
4/1/2003,2.362380266
7/1/2003,1.780675888
10/1/2003,4.381136894
1/1/2004,4.932805538
4/1/2004,7.159964085
7/1/2004,9.188074112
10/1/2004,8.436442375
1/1/2005,9.568240166
4/1/2005,9.885931969
7/1/2005,8.643403053
10/1/2005,8.222129822
1/1/2006,7.900089264
4/1/2006,6.975884438
7/1/2006,8.433515549
10/1/2006,8.35056591
1/1/2007,7.236213684
4/1/2007,7.108642101
7/1/2007,7.071190834
10/1/2007,8.925121307
1/1/2008,12.41298485
4/1/2008,19.34576607
7/1/2008,24.51804733
10/1/2008,23.10132599
1/1/2009,19.86034012
4/1/2009,13.21296215
7/1/2009,8.81251812
10/1/2009,8.538643837
1/1/2010,10.9090395
4/1/2010,12.06101322
7/1/2010,13.36182594
10/1/2010,15.24610519
1/1/2011,13.25858212
4/1/2011,12.83564281
7/1/2011,11.46678066
10/1/2011,10.29876041
1/1/2012,10.64429569
4/1/2012,11.60624027
7/1/2012,9.146989822
10/1/2012,7.503733158
1/1/2013,7.337504864
4/1/2013,5.593400478
7/1/2013,8.062755585
10/1/2013,9.717559814
1/1/2014,8.125248909
4/1/2014,8.580537796
7/1/2014,7.517088413
10/1/2014,4.691318989
1/1/2015,3.201503277
4/1/2015,2.809307098
7/1/2015,1.637171865
10/1/2015,2.50592041
1/1/2016,3.760741949
4/1/2016,3.50921154
7/1/2016,3.880114317
10/1/2016,3.906211615
1/1/2017,4.272242546
4/1/2017,4.57626009
7/1/2017,3.393600464
10/1/2017,4.112591743
1/1/2018,3.821956635
4/1/2018,4.35902977
7/1/2018,5.597898006
10/1/2018,6.48107481
1/1/2019,8.271473885
4/1/2019,8.939422607
7/1/2019,11.70275402
10/1/2019,13.22202301
